t,borrow,dst,src,is_vector,rounds,optype
224,00,00000000,00000000,0,00000000,0000
225,00,00000000,00000000,0,00000000,0000
226,00,00000000,00000000,0,00000000,0000
227,00,00000000,00000000,0,00000000,0000
228,00,00000000,00000000,0,00000000,0000
229,00,00000000,00000000,0,00000000,0000
230,00,00000000,00000000,0,00000000,0000
231,00,00000000,00000000,0,00000000,0000
232,00,00000000,00000000,0,00000000,0000
233,00,00000000,00000000,0,00000000,0000
234,00,00000000,00000000,0,00000000,0000
235,00,00000000,00000000,0,00000000,0000
236,00,00000000,00000000,0,00000000,0000
237,00,00000000,00000000,0,00000000,0000
238,00,00000000,00000000,0,00000000,0000
239,00,00000000,00000000,0,00000000,0000
240,00,00000000,00000000,0,00000000,0000
241,00,00000000,00000000,0,00000000,0000
242,00,00000000,00000000,0,00000000,0000
243,00,00000000,00000000,0,00000000,0000
244,10,01101110,01101101,0,00000000,1001
245,00,00000000,00000000,0,00000000,0000
246,00,00000000,00000000,0,00000000,0000
247,00,00000000,00000000,0,00000000,0000
248,00,00000000,00000000,0,00000000,0000
249,00,00000000,00000000,0,00000000,0000
250,10,01110001,01110000,1,00000100,0001
251,00,00000000,00000000,0,00000000,0000
252,00,00000000,00000000,0,00000000,0000
253,00,00000000,00000000,0,00000000,0000
254,10,01110011,01110010,1,00000100,0001
255,00,00000000,00000000,0,00000000,0000
256,00,00000000,00000000,0,00000000,0000
257,00,00000000,00000000,0,00000000,0000
258,10,01110101,01110100,1,00000100,0001
259,00,00000000,00000000,0,00000000,0000
260,10,01111110,01111101,0,00000000,1001
261,00,00000000,00000000,0,00000000,0000
262,10,01110111,01110110,1,00000100,0001
263,00,00000000,00000000,0,00000000,0000
264,00,00000000,00000000,0,00000000,0000
265,00,00000000,00000000,0,00000000,0000
266,10,01111101,01111100,1,00000100,0001
267,00,00000000,00000000,0,00000000,0000
268,00,00000000,00000000,0,00000000,0000
269,00,00000000,00000000,0,00000000,0000
270,10,01111111,01111110,1,00000100,0001
271,00,00000000,00000000,0,00000000,0000
272,00,00000000,00000000,0,00000000,0000
273,00,00000000,00000000,0,00000000,0000
274,10,10000001,10000000,1,00000100,0001
275,00,00000000,00000000,0,00000000,0000
276,10,10001110,10001101,0,00000000,1001
277,00,00000000,00000000,0,00000000,0000
278,10,10000011,10000010,1,00000100,0001
279,00,00000000,00000000,0,00000000,0000
280,00,00000000,00000000,0,00000000,0000
281,00,00000000,00000000,0,00000000,0000
282,10,10001001,10001000,1,00000100,0001
283,00,00000000,00000000,0,00000000,0000
284,00,00000000,00000000,0,00000000,0000
285,00,00000000,00000000,0,00000000,0000
286,10,10001011,10001010,1,00000100,0001
287,00,00000000,00000000,0,00000000,0000
288,00,00000000,00000000,0,00000000,0000
289,00,00000000,00000000,0,00000000,0000
290,10,10001101,10001100,1,00000100,0001
291,00,00000000,00000000,0,00000000,0000
292,00,00000000,00000000,0,00000000,0000
293,00,00000000,00000000,0,00000000,0000
294,10,10001111,10001110,1,00000100,0001
295,00,00000000,00000000,0,00000000,0000
296,00,00000000,00000000,0,00000000,0000
297,00,00000000,00000000,0,00000000,0000
298,00,00000000,00000000,0,00000000,0000
299,00,00000000,00000000,0,00000000,0000
300,00,00000000,00000000,0,00000000,0000
301,00,00000000,00000000,0,00000000,0000
