t,mem_fmt,mem_addr,gpr_fmt,gpr_addr,optype
313,00,0000000000000000000000000000,00,00000000,00
314,00,0000000000000000000000000000,00,00000000,00
315,00,0000000000000000000000000000,00,00000000,00
316,00,0000000000000000000000000000,00,00000000,00
317,00,0000000000000000000000000000,00,00000000,00
318,00,0000000000000000000000000000,00,00000000,00
319,00,0000000000000000000000011010,00,01101110,11
320,00,0000000000000000000000000000,00,00000000,00
321,00,0000000000000000000000011011,00,01101111,11
322,00,0000000000000000000000000000,00,00000000,00
323,00,0000000000000000000000000000,00,00000000,00
324,00,0000000000000000000000000000,00,00000000,00
325,00,0000000000000000000000000000,00,00000000,00
326,00,0000000000000000000000000000,00,00000000,00
327,00,0000000000000000000000000000,00,00000000,00
328,00,0000000000000000000000000000,00,00000000,00
329,00,0000000000000000000000000000,00,00000000,00
330,00,0000000000000000000000000000,00,00000000,00
331,00,0000000000000000000000000000,00,00000000,00
332,00,0000000000000000000000000000,00,00000000,00
333,00,0000000000000000000000000000,00,00000000,00
334,00,0000000000000000000000000000,00,00000000,00
335,00,0000000000000000000000011100,00,01110110,11
336,00,0000000000000000000000000000,00,00000000,00
337,00,0000000000000000000000011101,00,01110111,11
338,00,0000000000000000000000000000,00,00000000,00
339,00,0000000000000000000000000000,00,00000000,00
340,00,0000000000000000000000000000,00,00000000,00
341,00,0000000000000000000000000000,00,00000000,00
342,00,0000000000000000000000000000,00,00000000,00
343,00,0000000000000000000000000000,00,00000000,00
344,00,0000000000000000000000000000,00,00000000,00
345,00,0000000000000000000000000000,00,00000000,00
346,00,0000000000000000000000000000,00,00000000,00
347,00,0000000000000000000000000000,00,00000000,00
348,00,0000000000000000000000000000,00,00000000,00
349,00,0000000000000000000000000000,00,00000000,00
350,00,0000000000000000000000000000,00,00000000,00
351,00,0000000000000000000000011110,00,01111110,11
352,00,0000000000000000000000000000,00,00000000,00
353,00,0000000000000000000000011111,00,01111111,11
354,00,0000000000000000000000000000,00,00000000,00
355,00,0000000000000000000000000000,00,00000000,00
356,00,0000000000000000000000000000,00,00000000,00
357,00,0000000000000000000000000000,00,00000000,00
358,00,0000000000000000000000000000,00,00000000,00
359,00,0000000000000000000000000000,00,00000000,00
360,00,0000000000000000000000000000,00,00000000,00
361,00,0000000000000000000000000000,00,00000000,00
362,00,0000000000000000000000000000,00,00000000,00
363,00,0000000000000000000000000000,00,00000000,00
364,00,0000000000000000000000000000,00,00000000,00
365,00,0000000000000000000000000000,00,00000000,00
366,00,0000000000000000000000000000,00,00000000,00
367,00,0000000000000000000000100000,00,10000110,11
368,00,0000000000000000000000000000,00,00000000,00
369,00,0000000000000000000000100001,00,10000111,11
370,00,0000000000000000000000000000,00,00000000,00
371,00,0000000000000000000000000000,00,00000000,00
372,00,0000000000000000000000000000,00,00000000,00
373,00,0000000000000000000000000000,00,00000000,00
374,00,0000000000000000000000000000,00,00000000,00
375,00,0000000000000000000000000000,00,00000000,00
376,00,0000000000000000000000000000,00,00000000,00
377,00,0000000000000000000000000000,00,00000000,00
378,00,0000000000000000000000000000,00,00000000,00
379,00,0000000000000000000000000000,00,00000000,00
380,00,0000000000000000000000000000,00,00000000,00
381,00,0000000000000000000000000000,00,00000000,00
382,00,0000000000000000000000000000,00,00000000,00
383,00,0000000000000000000000100010,00,10001110,11
384,00,0000000000000000000000000000,00,00000000,00
385,00,0000000000000000000000100011,00,10001111,11
386,00,0000000000000000000000000000,00,00000000,00
387,00,0000000000000000000000000000,00,00000000,00
388,00,0000000000000000000000000000,00,00000000,00
389,00,0000000000000000000000000000,00,00000000,00
390,00,0000000000000000000000000000,00,00000000,00
391,00,0000000000000000000000000000,00,00000000,00
392,00,0000000000000000000000000000,00,00000000,00
393,00,0000000000000000000000000000,00,00000000,00
394,00,0000000000000000000000000000,00,00000000,00
395,00,0000000000000000000000000000,00,00000000,00
396,00,0000000000000000000000000000,00,00000000,00
397,00,0000000000000000000000000000,00,00000000,00
398,00,0000000000000000000000000000,00,00000000,00
399,00,0000000000000000000000100100,00,10010110,11
400,00,0000000000000000000000000000,00,00000000,00
401,00,0000000000000000000000100101,00,10010111,11
402,00,0000000000000000000000000000,00,00000000,00
403,00,0000000000000000000000000000,00,00000000,00
404,00,0000000000000000000000000000,00,00000000,00
405,00,0000000000000000000000000000,00,00000000,00
406,00,0000000000000000000000000000,00,00000000,00
407,00,0000000000000000000000000000,00,00000000,00
408,00,0000000000000000000000000000,00,00000000,00
409,00,0000000000000000000000000000,00,00000000,00
410,00,0000000000000000000000000000,00,00000000,00
411,00,0000000000000000000000000000,00,00000000,00
412,00,0000000000000000000000000000,00,00000000,00
413,00,0000000000000000000000000000,00,00000000,00
414,00,0000000000000000000000000000,00,00000000,00
415,00,0000000000000000000000100110,00,10011110,11
416,00,0000000000000000000000000000,00,00000000,00
417,00,0000000000000000000000100111,00,10011111,11
418,00,0000000000000000000000000000,00,00000000,00
419,00,0000000000000000000000000000,00,00000000,00
420,00,0000000000000000000000000000,00,00000000,00
421,00,0000000000000000000000000000,00,00000000,00
422,00,0000000000000000000000000000,00,00000000,00
423,00,0000000000000000000000000000,00,00000000,00
424,00,0000000000000000000000000000,00,00000000,00
425,00,0000000000000000000000000000,00,00000000,00
426,00,0000000000000000000000000000,00,00000000,00
427,00,0000000000000000000000000000,00,00000000,00
428,00,0000000000000000000000000000,00,00000000,00
429,00,0000000000000000000000000000,00,00000000,00
430,00,0000000000000000000000000000,00,00000000,00
431,00,0000000000000000000000101000,00,10100110,11
432,00,0000000000000000000000000000,00,00000000,00
433,00,0000000000000000000000101001,00,10100111,11
434,00,0000000000000000000000000000,00,00000000,00
435,00,0000000000000000000000000000,00,00000000,00
436,00,0000000000000000000000000000,00,00000000,00
437,00,0000000000000000000000000000,00,00000000,00
438,00,0000000000000000000000000000,00,00000000,00
439,00,0000000000000000000000000000,00,00000000,00
440,00,0000000000000000000000000000,00,00000000,00
441,00,0000000000000000000000000000,00,00000000,00
442,00,0000000000000000000000000000,00,00000000,00
443,00,0000000000000000000000000000,00,00000000,00
444,00,0000000000000000000000000000,00,00000000,00
445,00,0000000000000000000000000000,00,00000000,00
446,00,0000000000000000000000000000,00,00000000,00
447,00,0000000000000000000000101010,00,10101110,11
448,00,0000000000000000000000000000,00,00000000,00
449,00,0000000000000000000000101011,00,10101111,11
450,00,0000000000000000000000000000,00,00000000,00
451,00,0000000000000000000000000000,00,00000000,00
452,00,0000000000000000000000000000,00,00000000,00
453,00,0000000000000000000000000000,00,00000000,00
454,00,0000000000000000000000000000,00,00000000,00
455,00,0000000000000000000000000000,00,00000000,00
456,00,0000000000000000000000000000,00,00000000,00
457,00,0000000000000000000000000000,00,00000000,00
458,00,0000000000000000000000000000,00,00000000,00
459,00,0000000000000000000000000000,00,00000000,00
460,00,0000000000000000000000000000,00,00000000,00
461,00,0000000000000000000000000000,00,00000000,00
462,00,0000000000000000000000000000,00,00000000,00
463,00,0000000000000000000000101100,00,10110110,11
464,00,0000000000000000000000000000,00,00000000,00
465,00,0000000000000000000000101101,00,10110111,11
466,00,0000000000000000000000000000,00,00000000,00
467,00,0000000000000000000000000000,00,00000000,00
468,00,0000000000000000000000000000,00,00000000,00
469,00,0000000000000000000000000000,00,00000000,00
470,00,0000000000000000000000000000,00,00000000,00
471,00,0000000000000000000000000000,00,00000000,00
472,00,0000000000000000000000000000,00,00000000,00
473,00,0000000000000000000000000000,00,00000000,00
474,00,0000000000000000000000000000,00,00000000,00
475,00,0000000000000000000000000000,00,00000000,00
476,00,0000000000000000000000000000,00,00000000,00
477,00,0000000000000000000000000000,00,00000000,00
478,00,0000000000000000000000000000,00,00000000,00
479,00,0000000000000000000000101110,00,10111110,11
480,00,0000000000000000000000000000,00,00000000,00
481,00,0000000000000000000000101111,00,10111111,11
482,00,0000000000000000000000000000,00,00000000,00
483,00,0000000000000000000000000000,00,00000000,00
484,00,0000000000000000000000000000,00,00000000,00
485,00,0000000000000000000000000000,00,00000000,00
486,00,0000000000000000000000000000,00,00000000,00
487,00,0000000000000000000000000000,00,00000000,00
488,00,0000000000000000000000000000,00,00000000,00
489,00,0000000000000000000000000000,00,00000000,00
490,00,0000000000000000000000000000,00,00000000,00
491,00,0000000000000000000000000000,00,00000000,00
492,00,0000000000000000000000000000,00,00000000,00
493,00,0000000000000000000000000000,00,00000000,00
494,00,0000000000000000000000000000,00,00000000,00
495,00,0000000000000000000000110000,00,11000110,11
496,00,0000000000000000000000000000,00,00000000,00
497,00,0000000000000000000000110001,00,11000111,11
498,00,0000000000000000000000000000,00,00000000,00
499,00,0000000000000000000000000000,00,00000000,00
500,00,0000000000000000000000000000,00,00000000,00
501,00,0000000000000000000000000000,00,00000000,00
502,00,0000000000000000000000000000,00,00000000,00
503,00,0000000000000000000000000000,00,00000000,00
504,00,0000000000000000000000000000,00,00000000,00
505,00,0000000000000000000000000000,00,00000000,00
506,00,0000000000000000000000000000,00,00000000,00
507,00,0000000000000000000000000000,00,00000000,00
508,00,0000000000000000000000000000,00,00000000,00
509,00,0000000000000000000000000000,00,00000000,00
510,00,0000000000000000000000000000,00,00000000,00
511,00,0000000000000000000000110010,00,11001110,11
512,00,0000000000000000000000000000,00,00000000,00
513,00,0000000000000000000000110011,00,11001111,11
514,00,0000000000000000000000000000,00,00000000,00
515,00,0000000000000000000000000000,00,00000000,00
516,00,0000000000000000000000000000,00,00000000,00
517,00,0000000000000000000000000000,00,00000000,00
518,00,0000000000000000000000000000,00,00000000,00
519,00,0000000000000000000000000000,00,00000000,00
520,00,0000000000000000000000000000,00,00000000,00
521,00,0000000000000000000000000000,00,00000000,00
522,00,0000000000000000000000000000,00,00000000,00
523,00,0000000000000000000000000000,00,00000000,00
524,00,0000000000000000000000000000,00,00000000,00
525,00,0000000000000000000000000000,00,00000000,00
526,00,0000000000000000000000000000,00,00000000,00
527,00,0000000000000000000000110100,00,11010110,11
528,00,0000000000000000000000000000,00,00000000,00
529,00,0000000000000000000000110101,00,11010111,11
530,00,0000000000000000000000000000,00,00000000,00
531,00,0000000000000000000000000000,00,00000000,00
532,00,0000000000000000000000000000,00,00000000,00
533,00,0000000000000000000000000000,00,00000000,00
534,00,0000000000000000000000000000,00,00000000,00
535,00,0000000000000000000000000000,00,00000000,00
536,00,0000000000000000000000000000,00,00000000,00
537,00,0000000000000000000000000000,00,00000000,00
538,00,0000000000000000000000000000,00,00000000,00
539,00,0000000000000000000000000000,00,00000000,00
540,00,0000000000000000000000000000,00,00000000,00
541,00,0000000000000000000000000000,00,00000000,00
542,00,0000000000000000000000000000,00,00000000,00
543,00,0000000000000000000000110110,00,11011110,11
544,00,0000000000000000000000000000,00,00000000,00
545,00,0000000000000000000000110111,00,11011111,11
546,00,0000000000000000000000000000,00,00000000,00
547,00,0000000000000000000000000000,00,00000000,00
548,00,0000000000000000000000000000,00,00000000,00
549,00,0000000000000000000000000000,00,00000000,00
550,00,0000000000000000000000000000,00,00000000,00
551,00,0000000000000000000000000000,00,00000000,00
