Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.067	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.07	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.069	0.07	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.071	0.071	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.072	0.071	0 ms
Numeric time: 0.057	0.057	0 ms
Symbolic time: 0.074	0.073	0 ms
Numeric time: 0.049	0.05	0 ms
Symbolic time: 0.07	0.069	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.07	0.069	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.07	0.069	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.067	0.067	0 ms
Symbolic time: 0.069	0.07	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.05	0.05	0 ms
Symbolic time: 0.074	0.075	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.05	0.049	0 ms
Symbolic time: 0.068	0.067	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.072	0.071	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.067	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.067	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.05	0.049	0 ms
Symbolic time: 0.067	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.053	0.053	0 ms
Symbolic time: 0.068	0.067	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.05	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.05	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.072	0.071	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.07	0.07	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.048	0.048	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.05	0.049	0 ms
Symbolic time: 0.068	0.069	0 ms
Numeric time: 0.048	0.049	0 ms
Symbolic time: 0.068	0.067	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.069	0.069	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.068	0.068	0 ms
Numeric time: 0.052	0.052	0 ms
Symbolic time: 0.067	0.068	0 ms
Numeric time: 0.049	0.049	0 ms
Symbolic time: 0.069	0.068	0 ms
Numeric time: 0.049	0.048	0 ms
Symbolic time: 0.07	0.07	0 ms
