case,mask,count,fraction
logsumexp_x64,001100,113,0.06873479318734793
logsumexp_x64,001010,104,0.06326034063260341
logsumexp_x64,000110,81,0.04927007299270073
logsumexp_x64,100000,67,0.04075425790754258
logsumexp_x64,101000,62,0.037712895377128956
logsumexp_x64,001110,55,0.03345498783454988
logsumexp_x64,101100,38,0.023114355231143552
logsumexp_x64,100100,17,0.010340632603406326
logsumexp_x64,000010,16,0.009732360097323601
logsumexp_x64,110010,16,0.009732360097323601
logsumexp_x64,100010,16,0.009732360097323601
logsumexp_x64,111010,16,0.009732360097323601
logsumexp_x64,110000,16,0.009732360097323601
logsumexp_x64,010000,7,0.004257907542579075
logsumexp_x64,101010,4,0.0024330900243309003
logsumexp_x64,101110,4,0.0024330900243309003
logsumexp_x64,010010,4,0.0024330900243309003
logsumexp_x64,011010,4,0.0024330900243309003
logsumexp_x64,011000,1,0.0006082725060827251
logsumexp_x64,000001,1,0.0006082725060827251
