cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
19,0x00000013133,0x00000000000,0x000000000,0x00000000,0x42221041,0,0,0000004c4cc00000000000000000000000000422210410
20,0x00000014143,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000005050c00000000000000000000000000000000000
21,0x00000015153,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000005454c00000000000000000000000000000000000
22,0x00000016163,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000005858c00000000000000000000000000000000000
23,0x00000017173,0x00000000000,0x000000000,0x00000000,0x42a29041,0,0,0000005c5cc0000000000000000000000000042a290410
24,0x00000018183,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000006060c00000000000000000000000000000000000
25,0x00000019193,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000006464c00000000000000000000000000000000000
26,0x0000001a1a3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000006868c00000000000000000000000000000000000
27,0x0000001b1b3,0x00000000000,0x000000000,0x00000000,0x43231041,0,0,0000006c6cc00000000000000000000000000432310410
28,0x0000001c1c3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000007070c00000000000000000000000000000000000
29,0x0000001d1d3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000007474c00000000000000000000000000000000000
30,0x0000001e1e3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000007878c00000000000000000000000000000000000
31,0x0000001f1f3,0x00000000000,0x000000000,0x00000000,0x43a39041,0,0,0000007c7cc0000000000000000000000000043a390410
32,0x00000020203,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000008080c00000000000000000000000000000000000
33,0x00000021213,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000008484c00000000000000000000000000000000000
34,0x00000022223,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000008888c00000000000000000000000000000000000
35,0x00000023233,0x00000000000,0x000000000,0x00000000,0x44241041,0,0,0000008c8cc00000000000000000000000000442410410
36,0x00000024243,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000009090c00000000000000000000000000000000000
37,0x00000025253,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000009494c00000000000000000000000000000000000
38,0x00000026263,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000009898c00000000000000000000000000000000000
39,0x00000027273,0x00000000000,0x000000000,0x00000000,0x44a49041,0,0,0000009c9cc0000000000000000000000000044a490410
40,0x00000028283,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000a0a0c00000000000000000000000000000000000
41,0x00000029293,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000a4a4c00000000000000000000000000000000000
42,0x0000002a2a3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000a8a8c00000000000000000000000000000000000
43,0x0000002b2b3,0x00000000000,0x000000000,0x00000000,0x45251041,0,0,000000acacc00000000000000000000000000452510410
44,0x0000002c2c3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000b0b0c00000000000000000000000000000000000
45,0x0000002d2d3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000b4b4c00000000000000000000000000000000000
46,0x0000002e2e3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000b8b8c00000000000000000000000000000000000
47,0x0000002f2f3,0x00000000000,0x000000000,0x00000000,0x45a59041,0,0,000000bcbcc0000000000000000000000000045a590410
48,0x00000030303,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000c0c0c00000000000000000000000000000000000
49,0x00000031313,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000c4c4c00000000000000000000000000000000000
50,0x00000032323,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000c8c8c00000000000000000000000000000000000
51,0x00000033333,0x00000000000,0x000000000,0x00000000,0x46261041,0,0,000000ccccc00000000000000000000000000462610410
52,0x00000034343,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000d0d0c00000000000000000000000000000000000
53,0x00000035353,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000d4d4c00000000000000000000000000000000000
54,0x00000036363,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000d8d8c00000000000000000000000000000000000
55,0x00000037373,0x00000000000,0x000000000,0x00000000,0x46a69041,0,0,000000dcdcc0000000000000000000000000046a690410
56,0x00000038383,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000e0e0c00000000000000000000000000000000000
57,0x00000039393,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000e4e4c00000000000000000000000000000000000
58,0x0000003a3a3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000e8e8c00000000000000000000000000000000000
59,0x0000003b3b3,0x00000000000,0x000000000,0x00000000,0x47271041,0,0,000000ececc00000000000000000000000000472710410
60,0x0000003c3c3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000f0f0c00000000000000000000000000000000000
61,0x0000003d3d3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000000f4f4c00000000000000000000000000000000000
