cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
160,0x00000000000,0x00000000000,0x000000000,0x02822204,0x00000000,0,0,0000000000000000000000000000001411102000000000
161,0x00000000000,0x00000000000,0x000000000,0x02a26244,0x00000000,0,0,0000000000000000000000000000001513122000000000
162,0x00000000000,0x00000000000,0x02940076b,0x00000000,0x00000000,0,0,0000000000000000000000a5001dac0000000000000000
163,0x00000048363,0x000000020be,0x000000000,0x00000000,0x00000000,0,0,00000120d8c00000020be0000000000000000000000000
164,0x00000049367,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,00000124d9c00000000000000000000000000000000000
165,0x0000004a36b,0x00000000000,0x000000000,0x07a78762,0x00000000,0,0,00000128dac00000000000000000003d3c3b1000000000
166,0x0000004b36f,0x00000000000,0x02ae0082b,0x096908e2,0x00000000,0,0,0000012cdbc00000000000ab8020ac4b48471000000000
167,0x00000000000,0x00000000000,0x024001b0c,0x00000000,0x00000000,0,0,000000000000000000000090006c300000000000000000
168,0x00000000000,0x00000000000,0x024201b2c,0x02c2a284,0x00000000,0,0,000000000000000000000090806cb01615142000000000
169,0x00000000000,0x00000000000,0x024401b4c,0x00000000,0x00000000,0,0,000000000000000000000091006d300000000000000000
170,0x00000000000,0x00000000000,0x02b00086b,0x00000000,0x00000000,0,0,0000000000000000000000ac0021ac0000000000000000
171,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
172,0x00000000000,0x00000000000,0x024601b6c,0x00000000,0x47c7a009,0,0,000000000000000000000091806db0000000047c7a0090
173,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
174,0x00000000000,0x00000000000,0x02b2008ab,0x09894922,0x00000000,0,0,0000000000000000000000ac8022ac4c4a491000000000
175,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
176,0x00000000000,0x00000000000,0x000000000,0x04842404,0x00000000,0,0,0000000000000000000000000000002421202000000000
177,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
178,0x00000000000,0x00000000000,0x02b4008eb,0x00000000,0x00000000,0,0,0000000000000000000000ad0023ac0000000000000000
179,0x00000000000,0x00000000000,0x04a0cc943,0x00000000,0x00000000,0,0,00000000000000000000012833250c0000000000000000
180,0x00000000000,0x00000000000,0x04a4cc963,0x00000000,0x00000000,0,0,00000000000000000000012933258c0000000000000000
181,0x00000000000,0x00000000000,0x04b0eca83,0x09a98962,0x00000000,0,0,00000000000000000000012c3b2a0c4d4c4b1000000000
182,0x00000000000,0x00000000000,0x02ce009ab,0x0b6b0ae2,0x00000000,0,0,0000000000000000000000b38026ac5b58571000000000
183,0x00000000000,0x00000000000,0x04b4ecaa3,0x00000000,0x00000000,0,0,00000000000000000000012d3b2a8c0000000000000000
184,0x00000000000,0x00000000000,0x04b8ecac3,0x00000000,0x00000000,0,0,00000000000000000000012e3b2b0c0000000000000000
185,0x00000000000,0x00000000000,0x04bcecae3,0x00000000,0x00000000,0,0,00000000000000000000012f3b2b8c0000000000000000
186,0x00000000000,0x00000000000,0x02d0009eb,0x04a46444,0x4a2a1041,0,0,0000000000000000000000b40027ac25232224a2a10410
187,0x00000000000,0x00000000000,0x04c90cc03,0x00000000,0x00000000,0,0,00000000000000000000013243300c0000000000000000
188,0x00000000000,0x00000000000,0x04cd0cc23,0x00000000,0x49c9a009,0,0,00000000000000000000013343308c000000049c9a0090
189,0x00000000000,0x00000000000,0x04d10cc43,0x00000000,0x00000000,0,0,00000000000000000000013443310c0000000000000000
190,0x00000000000,0x00000000000,0x000000000,0x0b8b4b22,0x4a6a5041,0,0,0000000000000000000000000000005c5a5914a6a50410
191,0x00000000000,0x00000000000,0x04d50cc63,0x00000000,0x00000000,0,0,00000000000000000000013543318c0000000000000000
192,0x00000000000,0x00000000000,0x04e12cd83,0x00000000,0x00000000,0,0,0000000000000000000001384b360c0000000000000000
193,0x00000000000,0x00000000000,0x04e52cda3,0x04c4a484,0x00000000,0,0,0000000000000000000001394b368c2625242000000000
194,0x00000000000,0x00000000000,0x000000000,0x07e7c6c2,0x4b2b1041,0,0,0000000000000000000000000000003f3e3614b2b10410
195,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
196,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
197,0x00000000000,0x00000000000,0x000000000,0x0bab8b62,0x00000000,0,0,0000000000000000000000000000005d5c5b1000000000
198,0x00000000000,0x00000000000,0x000000000,0x0d6d0ce2,0x4b6b5041,0,0,0000000000000000000000000000006b686714b6b50410
199,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
200,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
201,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
202,0x0000004c393,0x000000030fe,0x000000000,0x00000000,0x4bab9041,0,0,00000130e4c00000030fe00000000000000004bab90410
203,0x0000004d397,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,00000134e5c00000000000000000000000000000000000
204,0x0000004e39b,0x00000000000,0x000000000,0x00000000,0x4bcba009,0,0,00000138e6c000000000000000000000000004bcba0090
205,0x0000004f39f,0x00000000000,0x026001c8c,0x00000000,0x00000000,0,0,0000013ce7c00000000000980072300000000000000000
206,0x00000000000,0x00000000000,0x026201cac,0x00000000,0x4bebd041,0,0,0000000000000000000000988072b000000004bebd0410
207,0x00000000000,0x00000000000,0x026401ccc,0x00000000,0x00000000,0,0,0000000000000000000000990073300000000000000000
