cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
132,0x00000000000,0x00000000000,0x05834b783,0x4d60cd4f,0x00000000,0,0,000000000000000000000160d2de0e6b066a7800000000
133,0x00000000000,0x00000000000,0x038001bcb,0x56a0d681,0x00000000,0,0,0000000000000000000000e0006f2eb506b40800000000
134,0x00000000000,0x00000000000,0x032c0158d,0x00000000,0x09a98002,0,0,0000000000000000000000cb005634000000009a980020
135,0x00000000000,0x00000000000,0x035c015ae,0x0f2eeecb,0x00000000,0,0,0000000000000000000000d70056b87977765800000000
136,0x00000000000,0x00000000000,0x0360015ee,0x00000000,0x00000000,0,0,0000000000000000000000d80057b80000000000000000
137,0x00000000000,0x00000000000,0x037c017ae,0x1130f0cb,0x00000000,0,0,0000000000000000000000df005eb88987865800000000
138,0x00000000000,0x00000000000,0x0380017ee,0x45c0a5b1,0x00000000,0,0,0000000000000000000000e0005fba2e052d8800000000
139,0x00000000000,0x00000000000,0x03840182e,0x4b808b62,0x00000000,0,0,0000000000000000000000e10060ba5c045b1000000000
140,0x00000000000,0x00000000000,0x059f6b983,0x4d808d62,0x00000000,0,0,000000000000000000000167dae60e6c046b1000000000
141,0x00000000000,0x00000000000,0x038401c0b,0x47c0a7b1,0x00000000,0,0,0000000000000000000000e100702e3e053d8800000000
142,0x00000000000,0x00000000000,0x032e015cd,0x0f4f0f2b,0x00000000,0,0,0000000000000000000000cb8057347a78795800000000
143,0x00000000000,0x00000000000,0x03300160d,0x00000000,0x00000000,0,0,0000000000000000000000cc0058340000000000000000
144,0x00000000000,0x00000000000,0x034c017cd,0x1151112b,0x00000000,0,0,0000000000000000000000d3005f348a88895800000000
145,0x00000000000,0x00000000000,0x041e1e121,0x00000000,0x05e5c003,0,0,000000000000000000000107878484000000005e5c0030
146,0x00000000000,0x00000000000,0x04241e161,0x00000000,0x0bab8002,0,0,00000000000000000000010907858400000000bab80020
147,0x00000000000,0x00000000000,0x042a1e1a1,0x00000000,0x0dad8002,0,0,00000000000000000000010a87868400000000dad80020
148,0x00000000000,0x00000000000,0x04423e361,0x00000000,0x07e7c003,0,0,0000000000000000000001108f8d84000000007e7c0030
149,0x00000000000,0x00000000000,0x04483e3a1,0x4f60cf4f,0x00000000,0,0,0000000000000000000001120f8e867b067a7800000000
150,0x00000000000,0x00000000000,0x044e3e3e1,0x00000000,0x00000000,0,0,0000000000000000000001138f8f840000000000000000
151,0x00000000000,0x00000000000,0x034e0180d,0x5160d14f,0x00000000,0,0,0000000000000000000000d38060368b068a7800000000
152,0x00000000000,0x00000000000,0x0020001e1,0x00000000,0x00000000,0,0,0000000000000000000000080007840000000000000000
153,0x00000000000,0x00000000000,0x002604241,0x49c0a9b1,0x00000000,0,0,0000000000000000000000098109064e054d8800000000
154,0x00000000000,0x00000000000,0x000000000,0x1332f2cb,0x00000000,0,0,0000000000000000000000000000009997965800000000
155,0x00000000000,0x00000000000,0x002c082a1,0x00000000,0x00000000,0,0,00000000000000000000000b020a840000000000000000
156,0x00000000000,0x00000000000,0x004400421,0x4f808f62,0x00000000,0,0,0000000000000000000000110010867c047b1000000000
157,0x00000000000,0x00000000000,0x004a04481,0x00000000,0x00000000,0,0,0000000000000000000000128112040000000000000000
158,0x00000000000,0x00000000000,0x0050084e1,0x51809162,0x00000000,0,0,0000000000000000000000140213868c048b1000000000
159,0x00000000000,0x00000000000,0x002202202,0x00000000,0x00000000,0,0,0000000000000000000000088088080000000000000000
160,0x00000000000,0x00000000000,0x03500184d,0x00000000,0x09e9c003,0,0,0000000000000000000000d4006134000000009e9c0030
161,0x00000000000,0x00000000000,0x002806262,0x1353132b,0x00000000,0,0,00000000000000000000000a0189889a98995800000000
162,0x00000000000,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000000000000000000000000000000000000000000000
163,0x00000000000,0x00000000000,0x002e0a2c2,0x1534f4cb,0x0faf8002,0,0,00000000000000000000000b828b08a9a7a658faf80020
164,0x00000000000,0x00000000000,0x004602442,0x00000000,0x00000000,0,0,0000000000000000000000118091080000000000000000
165,0x00000000000,0x00000000000,0x004c064a2,0x4bc0abb1,0x11b18002,0,0,00000000000000000000001301928a5e055d891b180020
166,0x00000000000,0x00000000047,0x046c5e5e1,0x4dc0adb1,0x00000000,0,0,00000000000000000004711b1797866e056d8800000000
167,0x00000000000,0x00000000000,0x00520a502,0x00000000,0x00000000,0,0,0000000000000000000000148294080000000000000000
168,0x00000000000,0x00000000000,0x04665e5a1,0x5360d34f,0x00000000,0,0,0000000000000000000001199796869b069a7800000000
169,0x00000000000,0x00000001053,0x04725e621,0x00000000,0x00000000,0,0,00000000000000000105311c9798840000000000000000
170,0x0000002d3c3,0x0000000205f,0x04907e821,0x00000000,0x00000000,0,0,000000b4f0c000000205f1241fa0840000000000000000
171,0x0000002f3cb,0x0000000308f,0x05a36b9a3,0x00000000,0x00000000,0,0,000000bcf2c000000308f168dae68c0000000000000000
172,0x0000002e3c7,0x0000000409b,0x048a7e7e1,0x1555152b,0x0bebc003,0,0,000000b8f1c000000409b1229f9f84aaa8a958bebc0030
173,0x00000000000,0x00000000000,0x006e046c1,0x00000000,0x0dedc003,0,0,00000000000000000000001b811b0400000000dedc0030
174,0x00000031027,0x000000050a7,0x038201beb,0x00000000,0x00000000,0,0,000000c409c00000050a70e0806fac0000000000000000
175,0x00000030023,0x00000000000,0x006800661,0x53809362,0x00000000,0,0,000000c008c000000000001a0019869c049b1000000000
176,0x0000003202b,0x00000000000,0x007408721,0x00000000,0x00000000,0,0,000000c80ac000000000001d021c840000000000000000
177,0x00000000000,0x00000000000,0x009204901,0x00000000,0x00000000,0,0,0000000000000000000000248124040000000000000000
178,0x00000000000,0x00000000000,0x04967e861,0x00000000,0x00000000,0,0,0000000000000000000001259fa1840000000000000000
179,0x00000000000,0x00000000000,0x008c008a1,0x5560d54f,0x00000000,0,0,000000000000000000000023002286ab06aa7800000000
180,0x00000000000,0x00000000000,0x04ae9ea21,0x00000000,0x00000000,0,0,00000000000000000000012ba7a8840000000000000000
181,0x00000000000,0x00000000000,0x0070066e2,0x00000000,0x00000000,0,0,00000000000000000000001c019b880000000000000000
182,0x00000000000,0x00000000000,0x03a001e0b,0x4fc0afb1,0x13b38002,0,0,0000000000000000000000e800782e7e057d893b380020
183,0x00000000000,0x00000000000,0x006a02682,0x00000000,0x00000000,0,0,00000000000000000000001a809a080000000000000000
184,0x00000000000,0x00000000000,0x00760a742,0x51c0b1b1,0x00000000,0,0,00000000000000000000001d829d0a8e058d8800000000
185,0x00000000000,0x00000000000,0x009406922,0x00000000,0x00000000,0,0,00000000000000000000002501a4880000000000000000
186,0x00000000000,0x00000000000,0x008e028c2,0x55809562,0x00000000,0,0,00000000000000000000002380a30aac04ab1000000000
187,0x00000000000,0x00000000000,0x009808961,0x18783802,0x00000000,0,0,000000000000000000000026022584c3c1c01000000000
188,0x00000000000,0x00000000000,0x00b000ae1,0x00000000,0x00000000,0,0,00000000000000000000002c002b840000000000000000
189,0x00000000000,0x000000070e3,0x04b49ea61,0x00000000,0x0fefc003,0,0,0000000000000000070e312d27a98400000000fefc0030
190,0x00000000000,0x000000060d7,0x03a0019ee,0x00000000,0x00000000,0,0,0000000000000000060d70e80067b80000000000000000
191,0x0000003306b,0x000000080ef,0x04ba9eaa1,0x00000000,0x11f1c003,0,0,000000cc1ac00000080ef12ea7aa84000000011f1c0030
192,0x0000003406f,0x0000000a12b,0x04d2bec61,0x00000000,0x00000000,0,0,000000d01bc000000a12b134afb1840000000000000000
193,0x00000035073,0x0000000911f,0x04d8beca1,0x00000000,0x15b58002,0,0,000000d41cc000000911f1362fb284000000015b580020
194,0x00000000000,0x00000000000,0x009a0a982,0x18985862,0x00000000,0,0,00000000000000000000002682a608c4c2c31000000000
195,0x00000000000,0x00000000000,0x00b202b02,0x00000000,0x00000000,0,0,00000000000000000000002c80ac080000000000000000
196,0x00000000000,0x00000000000,0x00b604b41,0x00000000,0x00000000,0,0,00000000000000000000002d812d040000000000000000
197,0x00000000000,0x00000000000,0x036c01a0d,0x00000000,0x00000000,0,0,0000000000000000000000db0068340000000000000000
198,0x00000000000,0x00000000000,0x00bc08ba1,0x00000000,0x00000000,0,0,00000000000000000000002f022e840000000000000000
199,0x00000000000,0x00000000000,0x00d400d21,0x00000000,0x00000000,0,0,0000000000000000000000350034840000000000000000
200,0x00000000000,0x00000000000,0x00da04d81,0x00000000,0x00000000,0,0,0000000000000000000000368136040000000000000000
201,0x000000360b3,0x0000000b137,0x04debece1,0x53c0b3b1,0x00000000,0,0,000000d82cc000000b137137afb3869e059d8800000000
202,0x000000370b7,0x0000000c167,0x04fcdeee1,0x58a0d881,0x00000000,0,0,000000dc2dc000000c16713f37bb86c506c40800000000
203,0x00000000000,0x00000000000,0x04f6deea1,0x00000000,0x00000000,0,0,00000000000000000000013db7ba840000000000000000
204,0x000000380bb,0x00000000000,0x00b806b62,0x00000000,0x00000000,0,0,000000e02ec000000000002e01ad880000000000000000
205,0x00000000000,0x00000000000,0x03a201e2b,0x00000000,0x00000000,0,0,0000000000000000000000e88078ac0000000000000000
206,0x00000000000,0x00000000000,0x00be0abc2,0x00000000,0x00000000,0,0,00000000000000000000002f82af080000000000000000
207,0x00000000000,0x00000000000,0x00d602d42,0x00000000,0x00000000,0,0,00000000000000000000003580b5080000000000000000
208,0x00000000000,0x00000000000,0x00dc06da2,0x00000000,0x13f3c003,0,0,00000000000000000000003701b688000000013f3c0030
209,0x00000000000,0x00000000000,0x00e008de1,0x00000000,0x00000000,0,0,0000000000000000000000380237840000000000000000
210,0x00000000000,0x00000000000,0x00f800f61,0x00000000,0x00000000,0,0,00000000000000000000003e003d840000000000000000
211,0x00000000000,0x00000000000,0x00fe04fc1,0x00000000,0x00000000,0,0,00000000000000000000003f813f040000000000000000
