cycle,load,store,vector,scalar,sfu,reserved,eop,word_hex
73,0x0000004924b,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000012492c00000000000000000000000000000000000
74,0x0000004a253,0x0000000c067,0x000000000,0x00000000,0x00000000,0,0,0000012894c000000c0670000000000000000000000000
75,0x0000004b25b,0x00000000000,0x000000000,0x00000000,0x44a49044,0,0,0000012c96c0000000000000000000000000044a490440
76,0x0000004c263,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,0000013098c00000000000000000000000000000000000
77,0x0000004d26b,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,000001349ac00000000000000000000000000000000000
78,0x0000004e273,0x0000000d06f,0x000000000,0x00000000,0x00000000,0,0,000001389cc000000d06f0000000000000000000000000
79,0x0000004f27b,0x00000000000,0x000000000,0x00000000,0x44e4d044,0,0,0000013c9ec0000000000000000000000000044e4d0440
80,0x00000050283,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,00000140a0c00000000000000000000000000000000000
81,0x0000005128b,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,00000144a2c00000000000000000000000000000000000
82,0x00000052293,0x0000000e077,0x000000000,0x00000000,0x00000000,0,0,00000148a4c000000e0770000000000000000000000000
83,0x0000005329b,0x00000000000,0x000000000,0x00000000,0x45251044,0,0,0000014ca6c00000000000000000000000000452510440
84,0x000000542a3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,00000150a8c00000000000000000000000000000000000
85,0x000000552ab,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,00000154aac00000000000000000000000000000000000
86,0x000000562b3,0x0000000f07f,0x000000000,0x00000000,0x00000000,0,0,00000158acc000000f07f0000000000000000000000000
87,0x000000572bb,0x00000000000,0x000000000,0x00000000,0x45655044,0,0,0000015caec00000000000000000000000000456550440
88,0x000000582c3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,00000160b0c00000000000000000000000000000000000
89,0x000000592cb,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,00000164b2c00000000000000000000000000000000000
90,0x0000005a2d3,0x00000010087,0x000000000,0x00000000,0x00000000,0,0,00000168b4c00000100870000000000000000000000000
91,0x0000005b2db,0x00000000000,0x000000000,0x00000000,0x45a59044,0,0,0000016cb6c0000000000000000000000000045a590440
92,0x0000005c2e3,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,00000170b8c00000000000000000000000000000000000
93,0x0000005d2eb,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,00000174bac00000000000000000000000000000000000
94,0x0000005e2f3,0x0000001108f,0x000000000,0x00000000,0x00000000,0,0,00000178bcc000001108f0000000000000000000000000
95,0x0000005f2fb,0x00000000000,0x000000000,0x00000000,0x45e5d044,0,0,0000017cbec0000000000000000000000000045e5d0440
96,0x00000060303,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,00000180c0c00000000000000000000000000000000000
97,0x0000006130b,0x00000000000,0x000000000,0x00000000,0x00000000,0,0,00000184c2c00000000000000000000000000000000000
98,0x00000062313,0x00000012097,0x000000000,0x00000000,0x00000000,0,0,00000188c4c00000120970000000000000000000000000
99,0x0000006331b,0x00000000000,0x000000000,0x00000000,0x46261044,0,0,0000018cc6c00000000000000000000000000462610440
