t,half,imm,connect,dst,src1,src0,mask,optype
251,00,0,00,10100011,00000010,10100010,0,0001
252,00,0,01,11110001,00000000,00011011,0,1011
253,00,0,00,10100110,00000100,10100101,0,0001
254,00,0,00,10110010,00000000,10110001,0,0001
255,00,0,00,10100001,00000001,10100000,0,0010
256,00,0,00,10110101,00000010,10110100,0,0001
257,00,0,00,10111000,00000100,10110111,0,0001
258,00,0,01,10111110,00000000,10111101,0,1110
259,00,0,00,10100100,00000011,10100011,0,0010
260,00,0,01,11100010,00000000,00001010,0,1011
261,00,0,00,10100111,00000101,10100110,0,0010
262,00,0,00,10110011,00000001,10110010,0,0010
263,00,0,00,10110110,00000011,10110101,0,0010
264,00,0,00,10111001,00000101,10111000,0,0010
265,00,0,01,10100110,00000000,10111110,0,1101
266,00,0,10,11100101,11000101,11100000,0,0011
267,00,0,01,11000000,00000000,10111111,0,1110
268,00,0,10,11110011,11010101,11110000,0,0011
269,00,0,10,11110101,11010101,11110001,0,0011
270,00,0,10,11110111,11010101,11110010,0,0011
271,00,0,01,11000010,00000000,11000001,0,1110
272,00,0,01,11110000,00000000,00011010,0,1011
273,00,0,01,11110010,00000000,00011100,0,1011
274,00,0,01,10100111,00000000,11000000,0,1101
275,00,0,01,00000000,00000000,00101100,0,1011
276,00,0,01,11010000,00000000,11001111,0,1110
277,00,0,01,11010010,00000000,11010001,0,1110
278,00,0,01,10101000,00000000,11000010,0,1101
279,00,0,01,11010100,00000000,11010011,0,1110
280,00,0,01,00000001,00000000,00101101,0,1011
281,00,0,01,00000010,00000000,00101110,0,1011
282,00,0,01,00010000,00000000,00111110,0,1011
283,00,0,01,10110110,00000000,11010000,0,1101
284,00,0,01,10110111,00000000,11010010,0,1101
285,00,0,01,00010001,00000000,00111111,0,1011
286,00,0,01,10111000,00000000,11010100,0,1101
287,00,0,10,00001011,11100101,00001000,0,0011
288,00,0,10,00001101,11100101,00001001,0,0011
289,00,0,01,00010010,00000000,01000000,0,1011
290,00,0,01,00100000,00000000,01010000,0,1011
291,00,0,10,00001111,11100101,00001010,0,0011
292,00,0,01,11100010,00000000,11100001,0,1110
293,00,0,01,00100001,00000000,01010001,0,1011
294,00,0,01,00100010,00000000,01010010,0,1011
295,00,0,01,00110000,00000000,01100010,0,1011
296,00,0,01,11100100,00000000,11100011,0,1110
297,00,0,01,00110001,00000000,01100011,0,1011
298,00,0,01,00110010,00000000,01100100,0,1011
299,00,0,01,11000110,00000000,11100010,0,1101
300,00,0,01,11100110,00000000,11100101,0,1110
301,00,0,01,01000000,00000000,01110100,0,1011
302,00,0,01,01000001,00000000,01110101,0,1011
303,00,0,01,11000111,00000000,11100100,0,1101
304,00,0,01,11110100,00000000,11110011,0,1110
305,00,0,01,01000010,00000000,01110110,0,1011
306,00,0,10,00011101,11110101,00011010,0,0011
307,00,0,01,11001000,00000000,11100110,0,1101
308,00,0,10,00011111,11110101,00011011,0,0011
309,00,0,10,00100001,11110101,00011100,0,0011
310,00,0,01,01010000,00000000,10000110,0,1011
311,00,0,01,11010110,00000000,11110100,0,1101
312,00,0,01,01010001,00000000,10000111,0,1011
313,00,0,01,01010010,00000000,10001000,0,1011
314,00,0,01,11110110,00000000,11110101,0,1110
315,00,0,10,00101111,00000101,00101100,0,0011
316,00,0,10,00110001,00000101,00101101,0,0011
317,00,0,10,00110011,00000101,00101110,0,0011
318,00,0,10,01000001,00010101,00111110,0,0011
319,00,0,01,11111000,00000000,11110111,0,1110
320,00,0,10,01000011,00010101,00111111,0,0011
321,00,0,01,11010111,00000000,11110110,0,1101
322,00,0,01,00001100,00000000,00001011,0,1110
323,00,0,10,01000101,00010101,01000000,0,0011
324,00,0,01,00001110,00000000,00001101,0,1110
