t,mem_fmt,mem_addr,gpr_fmt,gpr_addr,optype
214,00,00000000000000000000,00,00000000,00
215,00,00000000000000000000,00,00000000,00
216,00,00000000000000000000,00,00000000,00
217,00,00000000000000000000,00,00000000,00
218,00,00000000000000000000,00,00000000,00
219,00,00000000000000000000,00,00000000,00
220,00,00000000000000000000,00,00000000,00
221,00,00000000000000000000,00,00000000,00
222,00,00000000000000000000,00,00000000,00
223,00,00000000000000000000,00,00000000,00
224,00,00000000000000000000,00,00000000,00
225,00,00000000000000000000,00,00000000,00
226,00,00000000000000110110,00,00101100,11
227,00,00000000000000111000,00,00101110,11
228,00,00000000000000111001,00,00111110,11
229,00,00000000000000000000,00,00000000,00
230,00,00000000000000110111,00,00101101,11
231,00,00000000000000000000,00,00000000,00
232,00,00000000000000111010,00,00111111,11
233,00,00000000000000111011,00,01000000,11
234,00,00000000000000000000,00,00000000,00
235,00,00000000000000000000,00,00000000,00
236,00,00000000000000000000,00,00000000,00
237,00,00000000000000000000,00,00000000,00
238,00,00000000000000000000,00,00000000,00
239,00,00000000000000000000,00,00000000,00
240,00,00000000000000000000,00,00000000,00
241,00,00000000000000000000,00,00000000,00
242,00,00000000000000000000,00,00000000,00
243,00,00000000000000000000,00,00000000,00
244,00,00000000000000000000,00,00000000,00
245,00,00000000000000000000,00,00000000,00
246,00,00000000000000111100,00,01010000,11
247,00,00000000000000000000,00,00000000,00
248,00,00000000000000111101,00,01010001,11
249,00,00000000000000000000,00,00000000,00
250,00,00000000000000000000,00,00000000,00
251,00,00000000000000000000,00,00000000,00
252,00,00000000000000111110,00,01010010,11
253,00,00000000000000111111,00,01100010,11
254,00,00000000000001000000,00,01100011,11
255,00,00000000000001000001,00,01100100,11
256,00,00000000000000000000,00,00000000,00
257,00,00000000000000000000,00,00000000,00
258,00,00000000000001000010,00,01110100,11
259,00,00000000000001000100,00,01110110,11
260,00,00000000000000000000,00,00000000,00
261,00,00000000000001000011,00,01110101,11
262,00,00000000000000000000,00,00000000,00
263,00,00000000000000000000,00,00000000,00
264,00,00000000000000000000,00,00000000,00
265,00,00000000000000000000,00,00000000,00
266,00,00000000000000000000,00,00000000,00
267,00,00000000000000000000,00,00000000,00
268,00,00000000000000000000,00,00000000,00
269,00,00000000000000000000,00,00000000,00
270,00,00000000000001000101,00,10000110,11
271,00,00000000000000000000,00,00000000,00
272,00,00000000000000000000,00,00000000,00
273,00,00000000000000000000,00,00000000,00
274,00,00000000000001000111,00,10001000,11
275,00,00000000000001000110,00,10000111,11
276,00,00000000000001001000,00,10011000,11
277,00,00000000000001001001,00,10011001,11
278,00,00000000000001001010,00,10011010,11
279,00,00000000000000000000,00,00000000,00
280,00,00000000000000000000,00,00000000,00
281,00,00000000000000000000,00,00000000,00
282,00,00000000000000000000,00,00000000,00
283,00,00000000000000000000,00,00000000,00
284,00,00000000000000000000,00,00000000,00
285,00,00000000000000000000,00,00000000,00
286,00,00000000000000000000,00,00000000,00
287,00,00000000000000000000,00,00000000,00
288,00,00000000000000000000,00,00000000,00
289,00,00000000000000000000,00,00000000,00
290,00,00000000000000000000,00,00000000,00
291,00,00000000000000000000,00,00000000,00
292,00,00000000000000000000,00,00000000,00
293,00,00000000000000000000,00,00000000,00
294,00,00000000000000000000,00,00000000,00
295,00,00000000000000000000,00,00000000,00
296,00,00000000000000000000,00,00000000,00
297,00,00000000000000000000,00,00000000,00
298,00,00000000000000000000,00,00000000,00
299,00,00000000000000000000,00,00000000,00
300,00,00000000000000000000,00,00000000,00
301,00,00000000000000000000,00,00000000,00
302,00,00000000000000000000,00,00000000,00
303,00,00000000000000000000,00,00000000,00
304,00,00000000000000000000,00,00000000,00
305,00,00000000000000000000,00,00000000,00
306,00,00000000000000000000,00,00000000,00
307,00,00000000000000000000,00,00000000,00
308,00,00000000000000000000,00,00000000,00
309,00,00000000000000000000,00,00000000,00
310,00,00000000000000000000,00,00000000,00
311,00,00000000000000000000,00,00000000,00
312,00,00000000000000000000,00,00000000,00
313,00,00000000000000000000,00,00000000,00
314,00,00000000000000000000,00,00000000,00
315,00,00000000000000000000,00,00000000,00
316,00,00000000000000000000,00,00000000,00
317,00,00000000000000000000,00,00000000,00
318,00,00000000000000000000,00,00000000,00
319,00,00000000000000000000,00,00000000,00
320,00,00000000000000000000,00,00000000,00
321,00,00000000000000000000,00,00000000,00
322,00,00000000000000000000,00,00000000,00
323,00,00000000000000000000,00,00000000,00
324,00,00000000000000000000,00,00000000,00
325,00,00000000000000000000,00,00000000,00
326,00,00000000000000000000,00,00000000,00
327,00,00000000000000000000,00,00000000,00
328,00,00000000000000000000,00,00000000,00
329,00,00000000000000000000,00,00000000,00
330,00,00000000000000000000,00,00000000,00
331,00,00000000000000000000,00,00000000,00
332,00,00000000000000000000,00,00000000,00
333,00,00000000000000000000,00,00000000,00
334,00,00000000000000000000,00,00000000,00
335,00,00000000000000000000,00,00000000,00
336,00,00000000000000000000,00,00000000,00
337,00,00000000000000000000,00,00000000,00
338,00,00000000000000000000,00,00000000,00
339,00,00000000000000000000,00,00000000,00
340,00,00000000000000000000,00,00000000,00
341,00,00000000000000000000,00,00000000,00
342,00,00000000000000000000,00,00000000,00
343,00,00000000000000000000,00,00000000,00
344,00,00000000000000000000,00,00000000,00
345,00,00000000000000000000,00,00000000,00
346,00,00000000000000000000,00,00000000,00
347,00,00000000000000000000,00,00000000,00
348,00,00000000000000000000,00,00000000,00
349,00,00000000000000000000,00,00000000,00
350,00,00000000000000000000,00,00000000,00
351,00,00000000000000000000,00,00000000,00
352,00,00000000000000000000,00,00000000,00
353,00,00000000000000000000,00,00000000,00
354,00,00000000000000000000,00,00000000,00
355,00,00000000000000000000,00,00000000,00
356,00,00000000000000000000,00,00000000,00
357,00,00000000000000000000,00,00000000,00
358,00,00000000000000000000,00,00000000,00
359,00,00000000000000000000,00,00000000,00
360,00,00000000000000000000,00,00000000,00
361,00,00000000000000000000,00,00000000,00
362,00,00000000000000000000,00,00000000,00
363,00,00000000000000000000,00,00000000,00
364,00,00000000000000000000,00,00000000,00
365,00,00000000000000000000,00,00000000,00
366,00,00000000000000000000,00,00000000,00
367,00,00000000000000000000,00,00000000,00
368,00,00000000000000000000,00,00000000,00
369,00,00000000000000000000,00,00000000,00
370,00,00000000000000000000,00,00000000,00
371,00,00000000000000000000,00,00000000,00
372,00,00000000000000000000,00,00000000,00
373,00,00000000000000000000,00,00000000,00
374,00,00000000000000000000,00,00000000,00
375,00,00000000000000000000,00,00000000,00
376,00,00000000000000000000,00,00000000,00
377,00,00000000000000000000,00,00000000,00
378,00,00000000000000000000,00,00000000,00
379,00,00000000000000000000,00,00000000,00
380,00,00000000000000000000,00,00000000,00
381,00,00000000000000000000,00,00000000,00
382,00,00000000000000000000,00,00000000,00
383,00,00000000000000000000,00,00000000,00
384,00,00000000000000000000,00,00000000,00
385,00,00000000000000000000,00,00000000,00
386,00,00000000000000000000,00,00000000,00
387,00,00000000000000000000,00,00000000,00
388,00,00000000000000000000,00,00000000,00
389,00,00000000000000000000,00,00000000,00
390,00,00000000000000000000,00,00000000,00
391,00,00000000000000000000,00,00000000,00
392,00,00000000000000000000,00,00000000,00
393,00,00000000000000000000,00,00000000,00
394,00,00000000000000000000,00,00000000,00
395,00,00000000000000000000,00,00000000,00
396,00,00000000000000000000,00,00000000,00
397,00,00000000000000000000,00,00000000,00
398,00,00000000000000000000,00,00000000,00
399,00,00000000000000000000,00,00000000,00
400,00,00000000000001001100,00,10101011,11
401,00,00000000000000000000,00,00000000,00
402,00,00000000000000000000,00,00000000,00
403,00,00000000000001001011,00,10101010,11
404,00,00000000000000000000,00,00000000,00
405,00,00000000000001001101,00,10101100,11
406,00,00000000000000000000,00,00000000,00
407,00,00000000000000000000,00,00000000,00
408,00,00000000000000000000,00,00000000,00
409,00,00000000000000000000,00,00000000,00
410,00,00000000000000000000,00,00000000,00
411,00,00000000000000000000,00,00000000,00
412,00,00000000000001001110,00,10111100,11
413,00,00000000000001001111,00,10111101,11
414,00,00000000000001010000,00,10111110,11
415,00,00000000000000000000,00,00000000,00
