t,half,imm,connect,dst,src1,src0,mask,optype
235,00,0,00,00000000,00000000,00000000,0,0000
236,00,0,00,00000000,00000000,00000000,0,0000
237,00,0,00,00000000,00000000,00000000,0,0000
238,00,0,01,10000111,00000000,01100101,0,1011
239,00,0,01,01010000,00000000,11111100,0,1100
240,00,0,01,01010001,00000000,11111101,0,1100
241,00,0,01,01010010,00000000,11111110,0,1100
242,00,0,01,10001000,00000000,01100111,0,1011
243,00,0,00,00000000,00000000,00000000,0,0000
244,00,0,01,01010011,00000000,11111111,0,1100
245,00,0,00,00000000,00000000,00000000,0,0000
246,00,0,01,10001001,00000000,01101001,0,1011
247,00,0,00,00000000,00000000,00000000,0,0000
248,00,0,00,00000000,00000000,00000000,0,0000
249,00,0,00,00000000,00000000,00000000,0,0000
250,00,0,01,10001010,00000000,01101011,0,1011
251,00,0,10,01110100,10010110,01101110,0,0011
252,00,0,10,01110110,10010110,01101111,0,0011
253,00,0,10,01111100,10100110,01111000,0,0011
254,00,0,01,10010111,00000000,01110001,0,1011
255,00,0,10,01111110,10100110,01111001,0,0011
256,00,0,10,10000000,10100110,01111010,0,0011
257,00,0,10,10000010,10100110,01111011,0,0011
258,00,0,01,10011000,00000000,01110011,0,1011
259,00,0,10,10001000,10110110,10000100,0,0011
260,00,0,10,10001010,10110110,10000101,0,0011
261,00,0,10,10001100,10110110,10000110,0,0011
262,00,0,00,00000000,00000000,00000000,0,0000
263,00,0,10,10001110,10110110,10000111,0,0011
264,00,0,10,10010100,11000110,10010000,0,0011
265,00,0,10,10010110,11000110,10010001,0,0011
266,00,0,00,00000000,00000000,00000000,0,0000
267,00,0,00,00000000,00000000,00000000,0,0000
268,00,0,00,00000000,00000000,00000000,0,0000
269,00,0,00,00000000,00000000,00000000,0,0000
270,00,0,00,00000000,00000000,00000000,0,0000
271,00,0,00,00000000,00000000,00000000,0,0000
272,00,0,00,00000000,00000000,00000000,0,0000
273,00,0,00,00000000,00000000,00000000,0,0000
274,00,0,00,00000000,00000000,00000000,0,0000
275,00,0,00,00000000,00000000,00000000,0,0000
276,00,0,00,00000000,00000000,00000000,0,0000
277,00,0,01,01100000,00000000,00001000,0,1100
278,00,0,01,01100001,00000000,00001001,0,1100
279,00,0,01,01100010,00000000,00001010,0,1100
280,00,0,01,01100011,00000000,00001011,0,1100
281,00,0,00,00000000,00000000,00000000,0,0000
282,00,0,00,00000000,00000000,00000000,0,0000
283,00,0,00,00000000,00000000,00000000,0,0000
284,00,0,00,00000000,00000000,00000000,0,0000
285,00,0,00,00000000,00000000,00000000,0,0000
286,00,0,01,10011001,00000000,01110101,0,1011
287,00,0,00,00000000,00000000,00000000,0,0000
288,00,0,00,00000000,00000000,00000000,0,0000
289,00,0,00,00000000,00000000,00000000,0,0000
290,00,0,01,10011010,00000000,01110111,0,1011
291,00,0,00,00000000,00000000,00000000,0,0000
292,00,0,00,00000000,00000000,00000000,0,0000
293,00,0,01,01110000,00000000,00010100,0,1100
294,00,0,01,10100111,00000000,01111101,0,1011
295,00,0,01,01110001,00000000,00010101,0,1100
296,00,0,01,01110010,00000000,00010110,0,1100
297,00,0,01,01110011,00000000,00010111,0,1100
298,00,0,01,10101000,00000000,01111111,0,1011
299,00,0,00,00000000,00000000,00000000,0,0000
300,00,0,00,00000000,00000000,00000000,0,0000
301,00,0,00,00000000,00000000,00000000,0,0000
302,00,0,01,10101001,00000000,10000001,0,1011
303,00,0,00,00000000,00000000,00000000,0,0000
304,00,0,00,00000000,00000000,00000000,0,0000
305,00,0,00,00000000,00000000,00000000,0,0000
306,00,0,01,10101010,00000000,10000011,0,1011
307,00,0,00,00000000,00000000,00000000,0,0000
308,00,0,00,00000000,00000000,00000000,0,0000
309,00,0,00,00000000,00000000,00000000,0,0000
310,00,0,01,10110111,00000000,10001001,0,1011
311,00,0,01,10000000,00000000,00100000,0,1100
312,00,0,01,10000001,00000000,00100001,0,1100
313,00,0,01,10000010,00000000,00100010,0,1100
314,00,0,01,10111000,00000000,10001011,0,1011
315,00,0,00,00000000,00000000,00000000,0,0000
316,00,0,01,10000011,00000000,00100011,0,1100
317,00,0,00,00000000,00000000,00000000,0,0000
318,00,0,01,10111001,00000000,10001101,0,1011
319,00,0,00,00000000,00000000,00000000,0,0000
320,00,0,00,00000000,00000000,00000000,0,0000
321,00,0,00,00000000,00000000,00000000,0,0000
322,00,0,01,10111010,00000000,10001111,0,1011
323,00,0,10,10011000,11000110,10010010,0,0011
324,00,0,10,10011010,11000110,10010011,0,0011
325,00,0,10,10100000,11010110,10011100,0,0011
326,00,0,01,11000111,00000000,10010101,0,1011
327,00,0,10,10100010,11010110,10011101,0,0011
328,00,0,10,10100100,11010110,10011110,0,0011
329,00,0,10,10100110,11010110,10011111,0,0011
330,00,0,01,11001000,00000000,10010111,0,1011
331,00,0,10,10101100,11100110,10101000,0,0011
332,00,0,10,10101110,11100110,10101001,0,0011
333,00,0,10,10110000,11100110,10101010,0,0011
334,00,0,00,00000000,00000000,00000000,0,0000
335,00,0,10,10110010,11100110,10101011,0,0011
336,00,0,10,10111000,11110110,10110100,0,0011
337,00,0,10,10111010,11110110,10110101,0,0011
338,00,0,00,00000000,00000000,00000000,0,0000
339,00,0,00,00000000,00000000,00000000,0,0000
340,00,0,00,00000000,00000000,00000000,0,0000
341,00,0,00,00000000,00000000,00000000,0,0000
342,00,0,00,00000000,00000000,00000000,0,0000
343,00,0,00,00000000,00000000,00000000,0,0000
