t,imm,connect,dst,src1,src0,mask,optype
271,0,0,00000000,00000000,00000000,0,0000
272,0,0,00000000,00000000,00000000,0,0000
273,0,0,00000000,00000000,00000000,0,0000
274,0,0,00000000,00000000,00000000,0,0000
275,0,0,00000000,00000000,00000000,0,0000
276,0,0,00000000,00000000,00000000,0,0000
277,0,0,00000000,00000000,00000000,0,0000
278,0,0,00000000,00000000,00000000,0,0000
279,0,0,00000000,00000000,00000000,0,0000
280,0,0,00000000,00000000,00000000,0,0000
281,0,0,00000000,00000000,00000000,0,0000
282,0,0,01111111,01111110,01110110,0,0010
283,0,0,00000000,00000000,00000000,0,0000
284,0,0,00000000,00000000,00000000,0,0000
285,0,0,01100100,01100001,01100000,0,0100
286,0,0,00000000,00000000,00000000,0,0000
287,0,0,01100101,01100011,01100010,0,0100
288,0,0,00000000,00000000,00000000,0,0000
289,0,0,00000000,00000000,00000000,0,0000
290,0,0,00000000,00000000,00000000,0,0000
291,0,0,00000000,00000000,00000000,0,0000
292,0,0,00000000,00000000,00000000,0,0000
293,0,0,00000000,00000000,00000000,0,0000
294,0,0,01100110,01100101,01100100,0,0100
295,0,0,00000000,00000000,00000000,0,0000
296,0,0,00000000,00000000,00000000,0,0000
297,0,0,00000000,00000000,00000000,0,0000
298,0,0,00000000,00000000,00000000,0,0000
299,0,0,10001111,10001110,10000110,0,0010
300,0,0,00000000,00000000,00000000,0,0000
301,0,0,00000000,00000000,00000000,0,0000
302,0,0,10011100,10011010,10011001,0,0010
303,0,0,00000000,00000000,00000000,0,0000
304,0,0,01110100,01110001,01110000,0,0100
305,0,0,01110101,01110011,01110010,0,0100
306,0,0,00000000,00000000,00000000,0,0000
307,0,0,00000000,00000000,00000000,0,0000
308,0,0,00000000,00000000,00000000,0,0000
309,0,0,10011101,10011100,10011011,0,0010
310,0,0,10101011,10101000,10100111,0,0010
311,0,0,00000000,00000000,00000000,0,0000
312,0,0,01110110,01110101,01110100,0,0100
313,0,0,00000000,00000000,00000000,0,0000
314,0,0,00000000,00000000,00000000,0,0000
315,0,0,00000000,00000000,00000000,0,0000
316,0,0,00000000,00000000,00000000,0,0000
317,0,0,00000000,00000000,00000000,0,0000
318,0,0,10101100,10101010,10101001,0,0010
319,0,0,00000000,00000000,00000000,0,0000
320,0,0,10000100,10000001,10000000,0,0100
321,0,0,00000000,00000000,00000000,0,0000
322,0,0,00000000,00000000,00000000,0,0000
323,0,0,00000000,00000000,00000000,0,0000
324,0,0,00000000,00000000,00000000,0,0000
325,0,0,10101101,10101100,10101011,0,0010
326,0,0,10111011,10111000,10110111,0,0010
327,0,0,00000000,00000000,00000000,0,0000
328,0,0,00000000,00000000,00000000,0,0000
329,0,0,00000000,00000000,00000000,0,0000
330,0,0,10000101,10000011,10000010,0,0100
331,0,0,00000000,00000000,00000000,0,0000
332,0,0,00000000,00000000,00000000,0,0000
333,0,0,00000000,00000000,00000000,0,0000
334,0,0,10111100,10111010,10111001,0,0010
335,0,0,00000000,00000000,00000000,0,0000
336,0,0,00000000,00000000,00000000,0,0000
337,0,0,10000110,10000101,10000100,0,0100
338,0,0,10011111,10011110,10010110,0,0010
339,0,0,00000000,00000000,00000000,0,0000
340,0,0,00000000,00000000,00000000,0,0000
341,0,0,10111101,10111100,10111011,0,0010
342,0,0,11001011,11001000,11000111,0,0010
343,0,0,00000000,00000000,00000000,0,0000
344,0,0,00000000,00000000,00000000,0,0000
345,0,0,00000000,00000000,00000000,0,0000
346,0,0,00000000,00000000,00000000,0,0000
347,0,0,00000000,00000000,00000000,0,0000
348,0,0,00000000,00000000,00000000,0,0000
349,0,0,00000000,00000000,00000000,0,0000
350,0,0,00000000,00000000,00000000,0,0000
351,0,0,00000000,00000000,00000000,0,0000
352,0,0,00000000,00000000,00000000,0,0000
353,0,0,00000000,00000000,00000000,0,0000
354,0,0,10101111,10101110,10100110,0,0010
355,0,0,00000000,00000000,00000000,0,0000
356,0,0,00000000,00000000,00000000,0,0000
357,0,0,10010100,10010001,10010000,0,0100
358,0,0,00000000,00000000,00000000,0,0000
359,0,0,10010101,10010011,10010010,0,0100
360,0,0,00000000,00000000,00000000,0,0000
361,0,0,00000000,00000000,00000000,0,0000
362,0,0,00000000,00000000,00000000,0,0000
363,0,0,00000000,00000000,00000000,0,0000
364,0,0,00000000,00000000,00000000,0,0000
365,0,0,00000000,00000000,00000000,0,0000
366,0,0,10010110,10010101,10010100,0,0100
367,0,0,00000000,00000000,00000000,0,0000
368,0,0,00000000,00000000,00000000,0,0000
369,0,0,00000000,00000000,00000000,0,0000
370,0,0,00000000,00000000,00000000,0,0000
371,0,0,10111111,10111110,10110110,0,0010
372,0,0,00000000,00000000,00000000,0,0000
373,0,0,00000000,00000000,00000000,0,0000
374,0,0,11001100,11001010,11001001,0,0010
375,0,0,00000000,00000000,00000000,0,0000
376,0,0,10100100,10100001,10100000,0,0100
377,0,0,10100101,10100011,10100010,0,0100
378,0,0,00000000,00000000,00000000,0,0000
379,0,0,00000000,00000000,00000000,0,0000
380,0,0,00000000,00000000,00000000,0,0000
381,0,0,11001101,11001100,11001011,0,0010
382,0,0,11011011,11011000,11010111,0,0010
383,0,0,00000000,00000000,00000000,0,0000
384,0,0,10100110,10100101,10100100,0,0100
385,0,0,00000000,00000000,00000000,0,0000
386,0,0,00000000,00000000,00000000,0,0000
387,0,0,00000000,00000000,00000000,0,0000
388,0,0,00000000,00000000,00000000,0,0000
389,0,0,00000000,00000000,00000000,0,0000
390,0,0,11011100,11011010,11011001,0,0010
391,0,0,00000000,00000000,00000000,0,0000
392,0,0,10110100,10110001,10110000,0,0100
393,0,0,00000000,00000000,00000000,0,0000
394,0,0,00000000,00000000,00000000,0,0000
395,0,0,00000000,00000000,00000000,0,0000
396,0,0,00000000,00000000,00000000,0,0000
397,0,0,11011101,11011100,11011011,0,0010
398,0,0,11101011,11101000,11100111,0,0010
399,0,0,00000000,00000000,00000000,0,0000
400,0,0,00000000,00000000,00000000,0,0000
