t,half,imm,connect,dst,src1,src0,mask,optype
320,00,0,10,00011111,11110101,00011011,0,0011
321,00,0,10,00100001,11110101,00011100,0,0011
322,00,0,00,00000000,00000000,00000000,0,0000
323,00,0,00,00000000,00000000,00000000,0,0000
324,00,0,00,00000000,00000000,00000000,0,0000
325,00,0,00,00000000,00000000,00000000,0,0000
326,00,0,01,00011110,00000000,00011101,0,1110
327,00,0,01,00100000,00000000,00011111,0,1110
328,00,0,01,00100010,00000000,00100001,0,1110
329,00,0,10,00101111,00000101,00101100,0,0011
330,00,0,10,00110001,00000101,00101101,0,0011
331,00,0,10,00110011,00000101,00101110,0,0011
332,00,0,10,01000001,00010101,00111110,0,0011
333,00,0,01,11110110,00000000,00011110,0,1101
334,00,0,01,11110111,00000000,00100000,0,1101
335,00,0,01,11111000,00000000,00100010,0,1101
336,00,0,01,00110000,00000000,00101111,0,1110
337,00,0,01,00110010,00000000,00110001,0,1110
338,00,0,01,00110100,00000000,00110011,0,1110
339,00,0,01,01000010,00000000,01000001,0,1110
340,00,0,10,01000011,00010101,00111111,0,0011
341,00,0,10,01000101,00010101,01000000,0,0011
342,00,0,10,01010011,00100101,01010000,0,0011
343,00,0,01,00000110,00000000,00110000,0,1101
344,00,0,01,00000111,00000000,00110010,0,1101
345,00,0,01,00001000,00000000,00110100,0,1101
346,00,0,01,00010110,00000000,01000010,0,1101
347,00,0,01,01000100,00000000,01000011,0,1110
348,00,0,01,01000110,00000000,01000101,0,1110
349,00,0,01,01010100,00000000,01010011,0,1110
350,00,0,10,11010101,10111111,11001111,0,0001
351,00,0,10,11011000,10111111,11010001,0,0001
352,00,0,10,11011011,10111111,11010011,0,0001
353,00,0,00,00000000,00000000,00000000,0,0000
354,00,0,01,00010111,00000000,01000100,0,1101
355,00,0,01,00011000,00000000,01000110,0,1101
356,00,0,01,00100110,00000000,01010100,0,1101
357,00,0,00,11010110,00000000,11010101,0,0001
358,00,0,00,11011001,00000010,11011000,0,0001
359,00,0,00,11011100,00000100,11011011,0,0001
360,00,0,10,01010101,00100101,01010001,0,0011
361,00,0,10,11100111,11001111,11100001,0,0001
362,00,0,10,11101010,11001111,11100011,0,0001
363,00,0,10,11101101,11001111,11100101,0,0001
364,00,0,00,11010111,00000001,11010110,0,0010
365,00,0,00,11011010,00000011,11011001,0,0010
366,00,0,00,11011101,00000101,11011100,0,0010
367,00,0,01,01010110,00000000,01010101,0,1110
368,00,0,00,11101000,00000000,11100111,0,0001
369,00,0,00,11101011,00000010,11101010,0,0001
370,00,0,00,00000000,00000000,00000000,0,0000
371,00,0,00,11101110,00000100,11101101,0,0001
372,00,0,10,01100111,00110101,01100011,0,0011
373,00,0,10,11111001,11011111,11110011,0,0001
374,00,0,10,11111100,11011111,11110101,0,0001
375,00,0,00,11101001,00000001,11101000,0,0010
376,00,0,10,11111111,11011111,11110111,0,0001
377,00,0,00,11101100,00000011,11101011,0,0010
378,00,0,01,00100111,00000000,01010110,0,1101
379,00,0,00,11101111,00000101,11101110,0,0010
