Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.282	0.283	0 ms
Numeric time: 0.219	0.219	0 ms
Symbolic time: 0.285	0.284	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.404	0.404	0 ms
Numeric time: 0.264	0.264	0 ms
Symbolic time: 0.283	0.282	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.289	0.289	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.222	0.222	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.216	0.215	0 ms
Symbolic time: 0.283	0.282	0 ms
Numeric time: 0.221	0.221	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.214	0.213	0 ms
Symbolic time: 0.279	0.279	0 ms
Numeric time: 0.213	0	0.213 ms
Symbolic time: 0.284	0	0.284 ms
Numeric time: 0.21	0	0.21 ms
Symbolic time: 0.288	0.145	0.144 ms
Numeric time: 0.215	0.202	0.013 ms
Symbolic time: 0.282	0.266	0.016 ms
Numeric time: 0.213	0.2	0.012 ms
Symbolic time: 0.288	0.288	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.213	0.21	0.004 ms
Symbolic time: 0.288	0.289	0 ms
Numeric time: 0.211	0.211	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.219	0.219	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.285	0.285	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.212	0.212	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.223	0.223	0 ms
Symbolic time: 0.283	0.284	0 ms
Numeric time: 0.211	0.212	0 ms
Symbolic time: 0.287	0.286	0 ms
Numeric time: 0.212	0.212	0 ms
Symbolic time: 0.379	0.378	0 ms
Numeric time: 0.222	0.223	0 ms
Symbolic time: 0.284	0	0.284 ms
Numeric time: 0.219	0	0.22 ms
Symbolic time: 0.282	0	0.281 ms
Numeric time: 0.219	0.165	0.054 ms
Symbolic time: 0.282	0.265	0.017 ms
Numeric time: 0.213	0.2	0.014 ms
Symbolic time: 0.281	0.264	0.017 ms
Numeric time: 0.219	0.219	0 ms
Symbolic time: 0.28	0.28	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.289	0.289	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.287	0.287	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.281	0.281	0 ms
Numeric time: 0.214	0.212	0.001 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.214	0.213	0 ms
Symbolic time: 0.283	0.282	0 ms
Numeric time: 0.219	0.218	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.211	0.211	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.22	0.219	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.213	0.214	0 ms
Symbolic time: 0.289	0.288	0 ms
Numeric time: 0.212	0.213	0 ms
Symbolic time: 0.282	0.281	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.286	0.287	0 ms
Numeric time: 0.212	0.212	0 ms
Symbolic time: 0.282	0.283	0 ms
Numeric time: 0.212	0.212	0 ms
Symbolic time: 0.283	0.284	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.282	0.281	0 ms
Numeric time: 0.215	0.214	0 ms
Symbolic time: 0.284	0	0.284 ms
Numeric time: 0.214	0	0.215 ms
Symbolic time: 0.284	0	0.283 ms
Numeric time: 0.217	0.152	0.065 ms
Symbolic time: 0.287	0.268	0.018 ms
Numeric time: 0.216	0.201	0.014 ms
Symbolic time: 0.282	0.265	0.018 ms
Numeric time: 0.23	0.23	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.212	0.213	0 ms
Symbolic time: 0.288	0.288	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.286	0.286	0 ms
Numeric time: 0.213	0.214	0 ms
Symbolic time: 0.292	0.292	0 ms
Numeric time: 0.224	0.225	0 ms
Symbolic time: 0.281	0.282	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.287	0.287	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.218	0.218	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.285	0.285	0 ms
Numeric time: 0.22	0.22	0 ms
Symbolic time: 0.285	0.286	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.284	0.283	0.001 ms
Numeric time: 0.218	0.218	0 ms
Symbolic time: 0.286	0.286	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.29	0.29	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.213	0.212	0 ms
Symbolic time: 0.288	0.288	0 ms
Numeric time: 0.214	0.215	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.213	0.214	0 ms
Symbolic time: 0.29	0.29	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.282	0.281	0 ms
Numeric time: 0.218	0.218	0 ms
Symbolic time: 0.281	0.28	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.221	0.221	0 ms
Symbolic time: 0.283	0.282	0 ms
Numeric time: 0.215	0.216	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.22	0.219	0 ms
Symbolic time: 0.281	0.281	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.288	0.288	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.215	0.214	0 ms
Symbolic time: 0.288	0.287	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.286	0.286	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.285	0.285	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.283	0.284	0 ms
Numeric time: 0.215	0	0.215 ms
Symbolic time: 0.284	0	0.284 ms
Numeric time: 0.211	0	0.212 ms
Symbolic time: 0.283	0.083	0.201 ms
Numeric time: 0.222	0.223	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.283	0.278	0.005 ms
Numeric time: 0.218	0.218	0 ms
Symbolic time: 0.289	0.289	0 ms
Numeric time: 0.231	0.231	0 ms
Symbolic time: 0.288	0.288	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.281	0.281	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.285	0.284	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.285	0.285	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.286	0.287	0 ms
Numeric time: 0.212	0.212	0 ms
Symbolic time: 0.28	0.28	0 ms
Numeric time: 0.216	0.217	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.217	0.217	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.219	0.219	0 ms
Symbolic time: 0.288	0.288	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.284	0.284	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.29	0.291	0 ms
Numeric time: 0.219	0.219	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.285	0.285	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.217	0.217	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.213	0.213	0 ms
Symbolic time: 0.282	0.282	0 ms
Numeric time: 0.217	0.217	0 ms
Symbolic time: 0.285	0.285	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.283	0.283	0 ms
Numeric time: 0.222	0.222	0 ms
Symbolic time: 0.286	0.286	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.288	0.288	0 ms
Numeric time: 0.215	0.215	0 ms
Symbolic time: 0.28	0.28	0 ms
Numeric time: 0.214	0.214	0 ms
Symbolic time: 0.286	0.287	0 ms
Numeric time: 0.216	0.216	0 ms
Symbolic time: 0.281	0.281	0 ms
