Numeric time: 0.952	0.02	0.933 ms
Symbolic time: 1.723	1.723	0 ms
Numeric time: 0.949	0.95	0 ms
Symbolic time: 1.74	1.74	0 ms
Numeric time: 0.947	0.947	0 ms
Symbolic time: 1.73	1.731	0 ms
Numeric time: 0.949	0	0.949 ms
Symbolic time: 1.729	1.729	0 ms
Numeric time: 0.946	0.946	0 ms
Symbolic time: 1.774	1.774	0 ms
Numeric time: 0.95	0.95	0 ms
Symbolic time: 1.729	1.729	0 ms
Numeric time: 0.949	0.949	0 ms
Symbolic time: 1.73	1.731	0 ms
Numeric time: 0.946	0.947	0 ms
Symbolic time: 1.728	1.728	0 ms
Numeric time: 0.946	0.947	0 ms
Symbolic time: 1.722	1.721	0 ms
Numeric time: 0.943	0.944	0 ms
Symbolic time: 1.731	1.732	0 ms
Numeric time: 0.95	0.95	0 ms
Symbolic time: 1.775	1.776	0 ms
Numeric time: 0.951	0.951	0 ms
Symbolic time: 1.73	1.731	0 ms
Numeric time: 0.943	0.943	0 ms
Symbolic time: 1.778	1.777	0 ms
Numeric time: 0.949	0.949	0 ms
Symbolic time: 1.734	1.735	0 ms
Numeric time: 0.946	0.947	0 ms
Symbolic time: 1.785	1.786	0 ms
Numeric time: 0.941	0.935	0.006 ms
Symbolic time: 1.733	1.733	0 ms
Numeric time: 0.944	0.944	0 ms
Symbolic time: 1.77	1.77	0 ms
Numeric time: 0.942	0	0.942 ms
Symbolic time: 1.732	1.732	0 ms
Numeric time: 0.949	0.949	0 ms
Symbolic time: 1.729	1.73	0 ms
Numeric time: 0.946	0.947	0 ms
Symbolic time: 1.727	0.774	0.953 ms
Numeric time: 0.96	0.96	0 ms
Symbolic time: 1.778	1.778	0 ms
Numeric time: 0.961	0.961	0 ms
Symbolic time: 1.733	1.733	0 ms
Numeric time: 0.951	0	0.952 ms
Symbolic time: 1.775	1.711	0.065 ms
Numeric time: 0.948	0	0.948 ms
Symbolic time: 1.72	1.682	0.039 ms
Numeric time: 0.945	0.945	0 ms
Symbolic time: 1.729	1.729	0 ms
Numeric time: 0.943	0.942	0 ms
Symbolic time: 1.723	1.722	0 ms
Numeric time: 0.949	0.95	0 ms
Symbolic time: 1.738	1.738	0 ms
Numeric time: 0.953	0.005	0.948 ms
Symbolic time: 1.729	1.73	0 ms
Numeric time: 0.953	0.953	0 ms
Symbolic time: 1.735	1.734	0 ms
Numeric time: 0.949	0.95	0 ms
Symbolic time: 1.724	1.686	0.037 ms
Numeric time: 0.948	0.948	0 ms
Symbolic time: 1.724	1.724	0 ms
Numeric time: 0.951	0.951	0 ms
Symbolic time: 1.735	1.735	0 ms
Numeric time: 0.944	0.944	0 ms
Symbolic time: 1.739	1.739	0 ms
Numeric time: 0.943	0.943	0 ms
Symbolic time: 1.724	1.725	0 ms
Numeric time: 0.945	0.945	0 ms
Symbolic time: 1.779	1.779	0 ms
Numeric time: 0.945	0.945	0 ms
Symbolic time: 1.728	1.728	0 ms
Numeric time: 0.947	0.024	0.925 ms
Symbolic time: 1.73	1.67	0.06 ms
Numeric time: 0.947	0.947	0 ms
Symbolic time: 1.721	1.721	0 ms
Numeric time: 0.946	0.947	0 ms
Symbolic time: 1.719	1.719	0 ms
Numeric time: 0.945	0.946	0 ms
Symbolic time: 1.733	1.733	0 ms
Numeric time: 0.949	0	0.948 ms
Symbolic time: 1.746	1.745	0 ms
Numeric time: 0.947	0.946	0 ms
Symbolic time: 1.732	1.732	0 ms
Numeric time: 0.951	0.952	0 ms
Symbolic time: 1.729	1.729	0 ms
Numeric time: 0.962	0.011	0.952 ms
Symbolic time: 1.728	1.667	0.061 ms
Numeric time: 0.944	0.944	0 ms
Symbolic time: 1.726	0.907	0.818 ms
Numeric time: 0.951	0.951	0 ms
Symbolic time: 1.741	1.741	0 ms
Numeric time: 0.953	0.954	0 ms
Symbolic time: 1.734	1.734	0 ms
Numeric time: 0.943	0.944	0 ms
Symbolic time: 1.728	1.729	0 ms
Numeric time: 0.951	0.951	0 ms
Symbolic time: 1.727	1.728	0 ms
Numeric time: 0.944	0.944	0 ms
Symbolic time: 1.725	1.725	0 ms
Numeric time: 0.942	0.935	0.007 ms
Symbolic time: 1.73	1.729	0 ms
Numeric time: 0.947	0.947	0 ms
Symbolic time: 1.725	1.726	0 ms
Numeric time: 0.951	0.951	0 ms
Symbolic time: 1.732	1.733	0 ms
Numeric time: 0.943	0.943	0 ms
Symbolic time: 1.725	1.724	0 ms
Numeric time: 0.956	0.957	0 ms
Symbolic time: 1.738	1.738	0 ms
Numeric time: 0.945	0.945	0 ms
Symbolic time: 1.78	1.781	0 ms
Numeric time: 0.959	0.959	0 ms
Symbolic time: 1.726	1.725	0 ms
Numeric time: 0.95	0.951	0 ms
Symbolic time: 1.723	1.723	0 ms
Numeric time: 0.949	0.949	0 ms
Symbolic time: 1.727	0.912	0.815 ms
Numeric time: 0.948	0.948	0 ms
Symbolic time: 1.731	1.731	0 ms
Numeric time: 0.946	0.947	0 ms
Symbolic time: 1.726	1.727	0 ms
Numeric time: 0.943	0	0.944 ms
Symbolic time: 1.73	1.73	0 ms
Numeric time: 0.944	0.944	0 ms
Symbolic time: 1.732	1.732	0 ms
Numeric time: 0.944	0	0.944 ms
Symbolic time: 1.731	1.67	0.061 ms
Numeric time: 0.945	0	0.945 ms
Symbolic time: 1.725	1.702	0.023 ms
Numeric time: 0.962	0.963	0 ms
Symbolic time: 1.728	1.728	0 ms
Numeric time: 0.941	0.941	0 ms
Symbolic time: 1.727	1.727	0 ms
Numeric time: 0.942	0.942	0 ms
Symbolic time: 1.745	1.746	0 ms
Numeric time: 0.951	0.952	0 ms
Symbolic time: 1.728	1.729	0 ms
Numeric time: 0.944	0.945	0 ms
Symbolic time: 1.731	1.731	0 ms
Numeric time: 0.946	0.947	0 ms
Symbolic time: 1.775	1.775	0 ms
Numeric time: 0.967	0.967	0 ms
Symbolic time: 1.73	0.903	0.827 ms
Numeric time: 0.975	0.976	0 ms
Symbolic time: 1.72	0.902	0.819 ms
Numeric time: 0.951	0.952	0 ms
Symbolic time: 1.731	1.731	0 ms
Numeric time: 0.945	0.945	0 ms
Symbolic time: 1.726	1.726	0 ms
Numeric time: 0.947	0.947	0 ms
Symbolic time: 1.731	1.73	0 ms
Numeric time: 0.949	0.949	0 ms
Symbolic time: 1.734	1.733	0 ms
Numeric time: 0.945	0.946	0 ms
Symbolic time: 1.724	1.724	0 ms
Numeric time: 0.947	0.941	0.006 ms
Symbolic time: 1.722	0.893	0.83 ms
Numeric time: 0.943	0.943	0 ms
Symbolic time: 1.729	0.751	0.978 ms
Numeric time: 0.946	0.946	0 ms
Symbolic time: 1.725	1.725	0 ms
Numeric time: 0.943	0.943	0 ms
Symbolic time: 1.728	1.728	0 ms
Numeric time: 0.94	0.941	0 ms
Symbolic time: 1.723	1.723	0 ms
Numeric time: 0.946	0.946	0 ms
Symbolic time: 1.723	1.723	0 ms
Numeric time: 0.944	0.944	0 ms
Symbolic time: 1.722	1.718	0.006 ms
Numeric time: 0.96	0.961	0 ms
Symbolic time: 1.718	1.718	0 ms
Numeric time: 0.941	0.942	0 ms
Symbolic time: 1.731	1.732	0 ms
Numeric time: 0.939	0.939	0 ms
Symbolic time: 1.726	1.726	0 ms
Numeric time: 0.944	0.944	0 ms
Symbolic time: 1.724	1.724	0 ms
Numeric time: 0.96	0.96	0 ms
Symbolic time: 1.73	1.731	0 ms
Numeric time: 0.949	0.95	0 ms
Symbolic time: 1.727	1.728	0 ms
Numeric time: 0.939	0.938	0.001 ms
Symbolic time: 1.77	1.77	0 ms
Numeric time: 0.946	0.946	0 ms
Symbolic time: 1.722	0.904	0.818 ms
Numeric time: 0.948	0.949	0 ms
Symbolic time: 1.728	1.728	0 ms
Numeric time: 0.942	0.943	0 ms
Symbolic time: 1.731	1.732	0 ms
Numeric time: 0.94	0.94	0 ms
Symbolic time: 1.771	1.771	0 ms
Numeric time: 0.942	0.942	0 ms
Symbolic time: 1.729	1.73	0 ms
Numeric time: 0.944	0.003	0.941 ms
Symbolic time: 1.727	1.727	0 ms
Numeric time: 0.947	0.891	0.056 ms
Symbolic time: 1.724	1.724	0 ms
Numeric time: 0.943	0.944	0 ms
Symbolic time: 1.779	0.798	0.983 ms
Numeric time: 0.945	0.946	0 ms
Symbolic time: 1.727	1.726	0 ms
Numeric time: 0.949	0.95	0 ms
Symbolic time: 1.726	1.726	0 ms
Numeric time: 0.959	0	0.958 ms
Symbolic time: 1.731	1.731	0 ms
Numeric time: 0.945	0.945	0 ms
Symbolic time: 1.734	1.734	0 ms
Numeric time: 0.964	0.965	0 ms
Symbolic time: 1.727	1.726	0 ms
Numeric time: 0.949	0	0.949 ms
Symbolic time: 1.729	1.669	0.06 ms
Numeric time: 0.947	0.947	0 ms
Symbolic time: 1.724	0.9	0.825 ms
Numeric time: 0.942	0.942	0 ms
Symbolic time: 1.774	1.774	0 ms
Numeric time: 0.947	0.948	0 ms
Symbolic time: 1.737	1.736	0 ms
Numeric time: 0.953	0.953	0 ms
Symbolic time: 1.732	1.731	0 ms
Numeric time: 0.947	0.948	0 ms
Symbolic time: 1.728	1.729	0 ms
Numeric time: 0.959	0.96	0 ms
Symbolic time: 1.739	1.739	0 ms
Numeric time: 0.955	0.955	0 ms
Symbolic time: 1.729	1.725	0.005 ms
Numeric time: 0.954	0.954	0 ms
Symbolic time: 1.73	1.731	0 ms
Numeric time: 0.956	0.956	0 ms
Symbolic time: 1.729	0.753	0.976 ms
Numeric time: 0.959	0.959	0 ms
Symbolic time: 1.728	1.727	0 ms
Numeric time: 0.952	0.953	0 ms
Symbolic time: 1.736	1.736	0 ms
Numeric time: 0.952	0.953	0 ms
Symbolic time: 1.729	1.729	0 ms
Numeric time: 0.953	0.954	0 ms
Symbolic time: 1.727	1.728	0 ms
Numeric time: 0.974	0.975	0 ms
Symbolic time: 1.728	1.713	0.014 ms
Numeric time: 0.959	0.959	0 ms
Symbolic time: 1.722	1.721	0 ms
Numeric time: 0.97	0.97	0 ms
Symbolic time: 1.73	1.73	0 ms
Numeric time: 0.961	0.962	0 ms
Symbolic time: 1.73	1.73	0 ms
Numeric time: 0.953	0.953	0 ms
Symbolic time: 1.729	1.728	0 ms
Numeric time: 0.95	0.951	0 ms
Symbolic time: 1.729	1.729	0 ms
Numeric time: 0.951	0.951	0 ms
Symbolic time: 1.73	1.73	0 ms
Numeric time: 0.959	0.959	0 ms
Symbolic time: 1.729	1.729	0 ms
Numeric time: 0.945	0.945	0 ms
Symbolic time: 1.726	1.726	0 ms
Numeric time: 0.952	0	0.952 ms
Symbolic time: 1.728	0.863	0.864 ms
Numeric time: 0.95	0.95	0 ms
Symbolic time: 1.783	1.783	0 ms
Numeric time: 0.949	0.949	0 ms
Symbolic time: 1.731	1.732	0 ms
Numeric time: 0.965	0.965	0 ms
Symbolic time: 1.73	1.73	0 ms
Numeric time: 0.95	0.951	0 ms
Symbolic time: 1.73	1.73	0 ms
Numeric time: 0.954	0.955	0 ms
Symbolic time: 1.729	1.729	0 ms
Numeric time: 0.947	0.948	0 ms
Symbolic time: 1.728	1.722	0.005 ms
Numeric time: 0.954	0.954	0 ms
Symbolic time: 1.731	1.73	0 ms
Numeric time: 0.945	0.945	0 ms
Symbolic time: 1.806	1.807	0 ms
Numeric time: 1.688	1.689	0 ms
Symbolic time: 2.719	2.719	0 ms
Numeric time: 0.983	0.982	0 ms
Symbolic time: 2.79	2.791	0 ms
Numeric time: 1.674	1.675	0 ms
Symbolic time: 2.943	2.942	0 ms
Numeric time: 1.677	1.676	0.002 ms
